id,translatable_id,name,document_url,locale
19,20,CEPT/ECC/DEC/(01)01,https://www.ecodocdb.dk/download/bac824b1-8c23/ECCDEC0101.PDF,cs
20,21,CEPT/ECC/DEC/(02)03,https://www.ecodocdb.dk/download/24f88d37-e17d/DEC0203.PDF,cs
21,22,CEPT/ECC/DEC/(02)04,https://www.ecodocdb.dk/download/7f713b90-ff73/ECCDEC0204.PDF,cs
22,23,CEPT/ECC/DEC/(02)05,https://www.ecodocdb.dk/download/4f7fbff8-efea/ECCDEC0205.PDF,cs
23,24,"CEPT/ERC T/R 25-09",https://www.ecodocdb.dk/download/dd949e7d-98b9/TR2509E.PDF,cs
24,25,CEPT/ECC/DEC/(02)07,,cs
25,26,CEPT/ECC/DEC/(04)06,https://www.ecodocdb.dk/download/f2300784-41f3/ECCDEC0406.PDF,cs
26,27,CEPT/ECC/DEC/(05)12,https://www.ecodocdb.dk/download/89ab9c84-e8f1/ECCDEC0512.PDF,cs
27,28,CEPT/ECC/DEC/(06)01,https://www.ecodocdb.dk/download/23ad06a7-bcbd/ECCDEC0601.PDF,cs
28,29,CEPT/ECC/DEC/(06)02,https://www.ecodocdb.dk/download/7157816e-662d/ECCDEC0602.PDF,cs
29,30,CEPT/ECC/DEC/(06)03,https://www.ecodocdb.dk/download/074336d4-f13b/ECCDEC0603.PDF,cs
30,31,CEPT/ERC/DEC/(98)15,https://www.ecodocdb.dk/download/f88226c4-0784/DEC9815E.PDF,cs
31,32,CEPT/ECC/DEC/(03)04,https://www.ecodocdb.dk/download/61cab614-e060/ECC%20Decision%20(03)04.pdf,cs
32,33,CEPT/ECC/DEC/(05)11,https://www.ecodocdb.dk/download/ee2b6d20-a15f/ECCDEC0511.PDF,cs
33,34,CEPT/ECC/DEC/(06)09,https://www.ecodocdb.dk/download/cdf6fecf-f27e/ECCDEC0609.PDF,cs
34,35,2007/98/ES,https://eur-lex.europa.eu/legal-content/CS/TXT/PDF/?uri=CELEX%3A32007D0098&from=EN,cs
35,36,2009/449/ES,https://eur-lex.europa.eu/legal-content/EN/TXT/PDF/?uri=CELEX:32009D0381&qid=1528279947074&from=CS,cs
36,37,CEPT/ECC/DEC/(08)05,https://www.ecodocdb.dk/download/5e4038fd-41f1/ECCDEC0805.PDF,cs
38,39,CEPT/ECC/REC/(01)04,https://www.ecodocdb.dk/download/4681aa93-6ed4/REC0104.PDF,cs
39,40,"CEPT/ERC T/R 25-08",https://www.ecodocdb.dk/download/063e7311-fba7/TR2508.pdf,cs
40,41,CEPT/ERC/DEC/(00)02,https://www.ecodocdb.dk/download/5d383ab3-14b4/DEC0002.PDF,cs
41,42,CEPT/ERC/DEC/(00)08,https://www.ecodocdb.dk/download/fb513095-9c6a/DEC0008.PDF,cs
42,43,CEPT/ERC/DEC/(01)07,,cs
43,44,CEPT/ERC/DEC/(01)17,https://www.ecodocdb.dk/download/2749f0f3-d25c/ERCDec0117.pdf,cs
44,45,CEPT/ERC/DEC/(95)03,https://www.ecodocdb.dk/download/3fb031f7-252d/DEC9503E.PDF,cs
45,46,2008/294/ES,https://eur-lex.europa.eu/legal-content/CS/TXT/PDF/?uri=CELEX%3A32008D0294&from=EN,cs
46,47,2011/251/EU,https://eur-lex.europa.eu/legal-content/CS/TXT/PDF/?uri=CELEX:32011D0251&qid=1528280743040&from=CS,cs
47,48,CEPT/ECC/DEC/(09)02,https://www.ecodocdb.dk/download/368e9fdc-8685/ECCDEC0902.PDF,cs
