id,code,sorting,created_at,updated_at
244,GPRS,,"2015-07-25 20:07:45","2015-07-25 23:51:46"
245,GPS,,"2015-07-25 20:07:45","2015-07-25 23:56:53"
246,GSM,,"2015-07-25 20:07:45","2015-08-06 14:13:48"
247,GSMA,,"2015-07-25 20:07:45","2015-07-26 14:20:33"
248,GSMOBV,,"2015-07-25 20:07:45","2015-07-26 14:20:49"
249,GSM-R,,"2015-07-25 20:07:45","2015-07-26 14:20:25"
250,GSO,,"2015-07-25 20:07:45","2015-08-07 14:31:12"
251,"hand over",,"2015-07-25 20:07:45","2016-06-03 09:35:00"
252,HAPS,,"2015-07-25 20:07:45","2015-08-06 14:13:31"
253,HbbTV,,"2015-07-25 20:07:45","2015-08-06 14:13:16"
254,HCM,,"2015-07-25 20:07:45","2015-08-06 14:13:08"
255,HDFS,,"2015-07-25 20:07:45","2015-07-26 14:23:22"
256,HDFSS,,"2015-07-25 20:07:45","2015-08-06 14:12:43"
257,HDTV,,"2015-07-25 20:07:45","2015-07-26 14:27:52"
258,HEO,,"2015-07-25 20:07:45","2015-07-26 14:28:48"
259,HEST,,"2015-07-25 20:07:45","2015-08-14 20:20:40"
260,HF,,"2015-07-25 20:07:45","2015-08-06 14:12:32"
261,HFBC,,"2015-07-25 20:07:45","2015-07-26 14:22:04"
262,HFCC,,"2015-07-25 20:07:45","2015-07-26 14:22:32"
263,HIO,,"2015-07-25 20:07:45","2015-07-26 14:23:14"
264,HIPERLAN,,"2015-07-25 20:07:45","2015-07-26 14:21:33"
265,HRS,,"2015-07-25 20:07:45","2016-06-03 09:34:17"
266,HS,,"2015-07-25 20:07:45","2015-08-06 14:12:16"
267,HSDPA,,"2015-07-25 20:07:45","2015-07-26 14:21:52"
268,HSPA,,"2015-07-25 20:07:45","2015-07-26 14:21:13"
269,HSUPA,,"2015-07-25 20:07:45","2015-07-26 14:28:26"
270,Htx,,"2015-07-25 20:07:45","2015-08-14 20:21:06"
271,IALA,,"2015-07-25 20:07:45","2015-07-26 14:28:36"
272,IARU,,"2015-07-25 20:07:45","2015-07-26 14:27:40"
273,IATA,,"2015-07-25 20:07:45","2015-08-06 14:11:58"
274,ICAO,,"2015-07-25 20:07:45","2015-07-26 14:23:04"
275,ICT,,"2015-07-25 20:07:45","2015-07-26 14:22:22"
276,IDWM,,"2015-07-25 20:07:45","2015-07-26 14:29:05"
277,IEC,,"2015-07-25 20:07:45","2015-08-06 14:11:52"
278,IEEE,,"2015-07-25 20:07:45","2015-07-26 14:22:53"
