id,army_usage_id,plan_part_id,start,end,sorting,created_at,updated_at
384,1,19,7075000000,7145000000,,"2015-08-05 15:56:30","2018-10-24 11:00:14"
385,1,19,7190000000,7235000000,,"2015-08-05 15:56:30","2017-12-07 12:24:47"
386,1,19,7235000000,7250000000,,"2015-08-05 15:56:30","2016-03-23 10:53:00"
387,4,19,7250000000,7300000000,,"2015-08-05 15:56:30","2018-10-24 14:23:07"
389,4,19,7450000000,7550000000,,"2015-08-05 15:56:30","2016-03-23 10:53:45"
390,4,19,7550000000,7750000000,,"2015-08-05 15:56:30","2016-03-23 10:53:56"
391,4,19,7750000000,7900000000,,"2015-08-05 15:56:30","2018-01-03 18:02:48"
393,4,19,7900000000,8025000000,,"2015-08-05 15:56:30","2016-03-23 10:54:34"
394,4,19,8025000000,8175000000,,"2015-08-05 15:56:30","2016-03-23 10:54:51"
395,4,19,8175000000,8215000000,,"2015-08-05 15:56:30","2016-03-23 10:55:02"
396,4,19,8215000000,8400000000,,"2015-08-05 15:56:30","2016-03-23 10:55:14"
397,4,19,8400000000,8500000000,,"2015-08-05 15:56:30","2016-03-23 10:55:48"
398,3,19,8500000000,8550000000,,"2015-08-05 15:56:30","2016-03-23 10:56:00"
399,4,19,8550000000,8650000000,,"2015-08-05 15:56:30","2016-03-23 10:56:22"
400,4,19,8650000000,8750000000,,"2015-08-05 15:56:30","2016-03-23 11:01:31"
401,4,19,8750000000,8850000000,,"2015-08-05 15:56:30","2016-03-23 11:02:29"
402,4,19,8850000000,9000000000,,"2015-08-05 15:56:30","2016-03-23 11:02:44"
403,4,19,9000000000,9200000000,,"2015-08-05 15:56:30","2016-03-23 11:02:58"
404,4,19,9200000000,9300000000,,"2015-08-05 15:56:30","2016-03-23 11:03:12"
405,4,19,9300000000,9500000000,,"2015-08-05 15:56:30","2016-03-23 11:03:28"
406,4,19,9500000000,9800000000,,"2015-08-05 15:56:30","2016-03-23 11:05:23"
407,4,19,9800000000,9900000000,,"2015-08-05 15:56:30","2016-03-23 11:05:47"
408,4,19,9900000000,10000000000,,"2015-08-05 15:56:30","2016-03-31 11:57:30"
409,4,13,10000000000,10400000000,,"2015-08-05 15:56:30","2018-06-12 16:28:43"
410,4,13,10400000000,10450000000,,"2015-08-05 15:56:30","2018-06-12 16:28:43"
411,4,13,10450000000,10500000000,,"2015-08-05 15:56:30","2016-03-23 11:06:38"
412,2,13,10500000000,10550000000,,"2015-08-05 15:56:30","2016-03-23 11:06:50"
413,2,13,10550000000,10600000000,,"2015-08-05 15:56:30","2016-03-23 11:06:59"
414,2,13,10600000000,10680000000,,"2015-08-05 15:56:30","2018-06-12 16:51:52"
